RQ1.1,RQ1.2,RQ1.3,RQ1.4,RQ1.5,RQ2.1,RQ2.2,RQ2.3,RQ2.4,RQ2.5,RQ3.1,RQ3.2,RQ3.3,RQ3.4,RQ3.5,RQ4.1,RQ4.2,RQ4.3,RQ4.4,RQ4.5,RQ5.1,RQ5.2,RQ5.3,RQ5.4,RQ5.5,RQ6.1,RQ6.2,RQ6.3,RQ6.4,RQ6.5,F11,F12,F13,F14,F15,F16,y11,Y1,y22,y33,y44,y55,y66,Y2,Y3,Y4,Y5,Y6,Improved
1,3,2,3,5,5,4,2,4,5,5,3,4,1,1,1,4,5,5,2,2,5,5,2,2,1,4,2,2,2,-0.234467207,0.745838977,-0.353861035,0.136625752,-0.043985819,-1.494413092,14,1,20,14,17,16,11,1,1,1,1,1,-0.1311355
4,5,3,3,4,3,2,3,4,2,2,3,2,3,4,5,3,1,3,5,1,3,5,1,3,1,2,3,3,1,0.734594019,-0.362104656,-0.28961969,-0.15937688,-0.798736113,-1.788342226,19,1,14,14,17,13,10,1,1,1,1,1,-0.442039051
5,4,3,4,5,3,4,2,2,1,2,3,3,3,4,3,3,2,4,2,3,3,2,4,4,2,2,3,4,4,1.093855847,-0.812116149,-0.08600008,-0.550740785,-0.128546717,-0.911892282,21,1,12,15,14,16,15,1,1,1,1,1,-0.221191557
2,3,3,4,5,1,2,2,4,5,1,3,5,5,5,2,1,2,2,1,1,4,4,3,3,1,1,1,2,3,0.343925236,-0.053503333,0.744115058,-1.862014282,-0.363136371,-2.536892594,17,1,14,19,8,15,8,1,1,1,1,1,-0.447901015
2,2,3,4,1,1,1,2,3,2,1,3,2,1,1,1,2,2,2,1,1,5,5,5,4,2,2,3,3,3,-0.880672139,-1.293088809,-1.480363158,-1.858747013,0.724677359,-1.297543056,12,1,9,8,8,20,13,1,1,1,1,1,-1.494900036
3,3,4,4,2,2,3,2,2,5,4,4,3,3,3,5,4,2,2,2,1,1,2,3,4,2,4,5,5,5,-0.001498485,-0.408058469,0.359810364,-0.09020556,-1.360195991,0.599913834,16,1,14,17,15,11,21,1,1,1,1,1,-0.334314895
1,1,2,4,3,3,3,2,2,3,3,3,4,5,5,4,5,5,5,2,1,1,2,3,3,1,1,1,2,2,-1.023407029,-0.745309602,0.9001269,1.251980652,-1.580535888,-2.686479689,11,1,13,20,21,10,7,1,1,1,1,1,-0.560632134
1,1,2,3,2,1,2,3,2,2,2,2,2,1,1,4,4,3,2,2,3,2,2,1,1,1,2,2,3,5,-1.456264017,-1.15940647,-1.590844473,-0.110320037,-1.635950684,-1.438577054,9,1,10,8,15,9,13,1,1,1,1,1,-1.959002414
4,4,4,2,3,2,4,4,2,4,4,2,2,4,2,4,4,2,4,2,2,4,4,3,2,2,2,4,4,2,0.280989189,0.066773541,-0.429234578,0.0085703,-0.326917184,-0.962483264,17,1,16,14,16,15,14,1,1,1,1,1,-0.259258643
2,2,4,2,4,2,3,4,2,4,4,2,4,3,2,2,4,3,2,2,2,3,2,3,4,2,3,2,4,4,-0.297056994,-0.246746567,-0.221282157,-0.666363853,-0.579953289,-0.845981028,14,1,15,15,13,14,15,1,1,1,1,1,-0.56637824
2,3,4,2,4,4,2,2,3,4,4,2,3,3,2,2,4,2,3,2,2,4,3,2,2,4,4,4,2,4,-0.054377971,-0.470015476,-0.424901767,-0.7358724,-0.737701718,-0.123197547,15,1,15,14,13,13,18,1,1,1,1,1,-0.583142466
4,3,4,4,4,4,4,3,4,2,4,3,2,4,3,2,3,4,2,3,2,3,4,3,2,3,2,4,4,2,0.658544554,0.308011085,0.065180512,-0.595870132,-0.588758993,-0.770858285,19,1,17,16,14,14,15,1,1,1,1,1,-0.047160148
4,3,4,3,4,5,3,4,2,4,4,3,4,2,4,3,3,3,4,2,4,2,4,3,4,4,3,4,2,3,0.471167154,-0.117519998,0.277964183,-0.292833354,0.103197158,-0.587279105,18,1,18,17,15,17,16,1,1,1,1,1,0.276422051
2,3,4,3,4,4,3,4,2,4,5,4,3,4,2,5,4,2,2,4,2,3,3,4,3,4,2,4,4,5,0.132999429,-0.160595521,0.534794839,0.097545376,-0.389508652,-0.13047202,16,1,17,18,17,15,19,1,1,1,1,1,0.206769789
2,2,2,3,4,4,2,4,2,3,5,3,4,2,3,4,2,3,4,4,2,3,4,2,3,2,3,4,2,3,-0.553541955,-0.664278958,0.25366186,-0.108349688,-0.563266585,-0.970529064,13,1,15,17,17,14,14,1,1,1,1,1,-0.329141899
4,4,2,2,2,4,4,4,4,2,4,4,2,4,2,4,4,2,2,4,4,4,4,2,2,2,4,4,2,4,-0.408352761,0.4837487,0.151359504,-0.180476532,-0.008646507,-0.506447506,14,1,18,16,16,16,16,1,1,1,1,1,-0.038114732
2,3,2,4,4,4,4,3,4,2,4,4,2,4,4,2,2,4,2,4,4,4,2,4,3,4,4,2,4,4,-0.123485533,0.308011085,0.559595601,-0.783283841,0.169514278,-0.148236606,15,1,17,18,14,17,18,1,1,1,1,1,0.128501345
4,4,2,4,3,4,4,4,2,2,4,2,2,2,4,4,4,3,4,2,4,4,2,2,4,4,4,2,2,2,0.211881627,-0.227402069,-0.419572077,0.26647773,0.000159197,-0.919538154,17,1,16,14,17,16,14,1,1,1,1,1,-0.161175073
4,4,2,4,3,4,4,4,2,3,2,2,4,4,2,2,4,3,4,4,4,4,2,3,3,2,2,4,4,2,0.211881627,-0.037238741,-0.381626811,-0.10181515,-0.025333211,-0.962483264,17,1,17,14,17,16,14,1,1,1,1,1,-0.096615792
2,3,4,4,4,4,4,2,4,2,4,4,4,2,4,4,4,2,2,2,4,4,4,4,2,4,4,4,2,4,0.320376829,0.13227347,0.568261224,-0.368227468,0.381048471,-0.123197547,17,1,16,18,14,18,18,1,1,1,1,1,0.23160064
4,2,4,3,3,4,4,2,4,2,4,4,2,4,4,4,2,4,4,2,4,4,2,4,2,2,2,4,4,4,-0.016991456,0.13227347,0.559595601,-0.038193192,-0.050825619,-0.663309074,16,1,16,18,16,16,16,1,1,1,1,1,0.096622062
4,3,2,2,2,4,2,3,2,3,2,2,2,2,2,3,3,3,4,4,3,3,3,3,3,2,2,4,3,3,-0.651031783,-0.840016573,-1.187439626,-0.105082419,-0.327797058,-1.048959848,13,1,14,10,17,15,14,1,1,1,1,1,-0.876413972
2,2,1,2,1,5,2,4,4,2,2,2,2,1,2,2,4,2,2,1,4,3,1,3,4,4,3,2,4,1,-1.6992893,-0.100215995,-1.386726425,-1.018146752,-0.282772168,-0.911492354,8,1,17,9,11,15,14,1,1,1,1,1,-1.271205391
4,4,2,5,1,5,3,2,4,2,3,2,1,1,2,2,2,5,2,1,4,3,2,2,4,5,5,2,4,4,-0.091700149,-0.138171116,-1.410530308,-0.807002813,-0.261682612,0.357882837,16,1,16,9,12,15,20,1,1,1,1,1,-0.730446671
4,4,2,5,1,5,3,2,4,2,3,2,1,1,2,2,2,5,2,1,4,3,2,2,4,5,5,2,4,4,-0.091700149,-0.138171116,-1.410530308,-0.807002813,-0.261682612,0.357882837,16,1,16,9,12,15,20,1,1,1,1,1,-0.730446671
1,5,1,5,1,1,3,1,4,1,1,5,1,5,1,1,5,1,3,1,1,5,1,4,1,1,5,1,5,1,-0.578203896,-0.676374151,-0.306241492,-1.08438803,-0.994938002,-0.869897896,13,1,10,13,11,12,13,1,1,1,1,1,-1.337455415
3,4,4,3,4,4,3,4,3,4,4,3,4,3,4,3,4,3,4,4,3,4,4,4,3,3,4,4,4,3,0.544762314,0.194979863,0.477250981,0.176206758,0.344829285,0.007717736,18,1,18,18,18,18,18,1,1,1,1,1,0.574039465
4,4,2,2,2,4,4,2,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,-0.408352761,0.512600126,-0.247214093,0.712136097,-0.008646507,0.348929811,14,1,18,14,20,16,20,1,1,1,1,1,0.051740148
4,4,2,4,3,4,4,4,3,4,4,4,2,4,3,4,4,4,2,2,4,4,4,4,4,4,4,4,4,4,0.211881627,0.508499971,0.355477553,0.147587393,0.821728265,0.348929811,17,1,19,17,16,20,20,1,1,1,1,1,0.58702517
4,4,2,2,4,4,2,2,2,4,4,4,2,4,2,4,4,4,4,4,4,4,2,2,2,4,4,4,4,4,0.082606416,-0.82559086,0.151359504,0.712136097,-0.440520597,0.348929811,16,1,14,16,20,14,20,1,1,1,1,1,-0.059460867
4,4,4,4,4,4,4,2,2,4,4,4,2,2,2,2,2,4,4,4,4,4,4,2,4,4,4,4,4,4,0.901223577,-0.198550643,-0.247214093,-0.406486073,0.432033287,0.348929811,20,1,16,14,16,18,20,1,1,1,1,1,0.208491902
4,4,4,4,4,2,2,4,4,2,4,4,2,2,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,0.901223577,-0.229442564,-0.247214093,0.524385161,0.821728265,0.348929811,20,1,14,14,18,20,20,1,1,1,1,1,0.27554048
2,2,1,1,2,3,3,4,1,3,2,3,3,3,3,3,3,3,3,3,3,4,4,5,5,4,4,5,5,4,-1.641187112,-0.749409756,-0.290118129,-0.38735677,0.980356568,0.833576698,8,1,14,14,15,21,22,1,1,1,1,1,-0.397682701
1,5,1,5,1,1,5,1,5,1,1,5,1,3,5,1,3,1,4,1,1,3,1,4,1,2,4,2,5,1,-0.578203896,0.30624145,0.111657105,-1.4585675,-1.51862162,-0.744184171,13,1,13,15,10,10,14,1,1,1,1,1,-1.124222987
4,4,4,4,4,5,4,3,4,4,4,4,3,4,4,4,5,4,4,4,4,4,5,4,4,4,4,5,4,5,0.901223577,0.731413264,0.763215211,0.993425273,1.03766531,0.747100114,20,1,20,19,21,21,22,1,1,1,1,1,1.26972639
3,4,3,2,3,5,3,4,4,4,3,4,3,3,4,3,3,4,3,3,3,4,4,3,3,3,3,4,4,4,-0.110025855,0.59363077,0.384112687,-0.12944934,0.149981796,-0.157189632,15,1,20,17,16,17,18,1,1,1,1,1,0.32422388
4,3,4,1,3,5,4,2,2,1,2,3,1,3,2,1,4,4,1,4,4,3,3,3,4,2,4,3,4,4,-0.149067234,-0.725965103,-0.901475397,-0.687126279,0.149101922,-0.282903357,15,1,14,11,14,17,17,1,1,1,1,1,-0.627740288
5,3,4,1,2,5,3,4,4,1,2,4,1,4,4,2,4,3,2,2,3,4,3,2,4,4,4,5,5,2,-0.225462959,0.023140786,-0.00365546,-0.666363853,-0.040462841,0.534402507,15,1,17,15,13,16,20,1,1,1,1,1,-0.158609083
3,4,3,1,2,4,4,3,3,3,4,4,1,1,1,3,4,4,2,1,3,2,2,2,2,3,3,2,3,2,-0.542882843,0.142599028,-0.854238549,-0.224309982,-1.220763298,-1.189593917,13,1,17,11,14,11,13,1,1,1,1,1,-0.979534635
4,3,5,2,3,5,3,3,4,5,3,4,3,3,5,2,1,3,5,2,2,3,1,3,2,2,3,4,2,3,0.260241347,0.608056483,0.588230735,-0.945034732,-1.236570128,-0.970529064,17,1,20,18,13,11,14,1,1,1,1,1,-0.044469044
3,4,2,3,4,2,4,2,3,4,2,4,3,4,3,2,4,4,4,2,2,4,4,2,4,2,3,4,3,3,0.100899953,0.070873695,0.19946571,-0.031658655,-0.081084879,-0.734465385,16,1,15,16,16,16,15,1,1,1,1,1,-0.143984998
4,4,3,3,4,3,3,4,2,4,2,4,4,2,3,4,2,3,2,4,2,3,4,2,4,4,2,3,4,4,0.491914996,-0.203671044,0.004511723,-0.485147455,-0.342926688,-0.528642323,18,1,16,15,15,15,17,1,1,1,1,1,-0.102680789
4,4,4,3,2,4,4,2,2,3,2,4,3,4,2,4,4,2,3,4,2,3,3,2,4,2,4,2,4,4,0.222887001,-0.388713971,-0.004652338,0.007922351,-0.558863733,-0.531486565,17,1,15,15,17,14,16,1,1,1,1,1,-0.22236765
4,4,2,4,2,4,4,2,3,3,4,2,2,3,4,2,2,4,3,2,2,3,4,2,4,2,4,3,2,4,-0.033597961,-0.033138586,-0.220285279,-0.782635892,-0.342926688,-0.755030714,16,1,16,15,13,15,15,1,1,1,1,1,-0.334160383
4,4,2,3,4,4,2,3,4,2,2,3,4,4,2,4,2,3,4,2,2,3,4,3,2,4,2,3,4,2,0.269983816,-0.319029133,-0.09132977,-0.296100623,-0.588758993,-0.827816514,17,1,15,15,15,14,15,1,1,1,1,1,-0.323156918
4,4,2,3,2,4,4,4,4,3,4,4,4,2,3,4,4,4,2,3,4,4,3,4,2,4,4,2,3,2,-0.220975361,0.673912028,0.364143175,0.241462861,0.165111426,-0.683474475,15,1,19,17,17,17,15,1,1,1,1,1,0.235014423
4,4,4,2,4,4,4,2,2,4,2,2,2,4,4,4,4,2,3,2,2,4,4,3,4,4,4,2,4,3,0.526468777,-0.198550643,-0.380629933,-0.179828584,0.11376261,-0.297823701,18,1,16,14,15,17,17,1,1,1,1,1,-0.063164744
4,4,4,2,3,4,4,3,3,2,2,4,2,3,2,4,4,2,4,3,2,2,4,4,2,4,4,4,2,4,0.280989189,-0.047564299,-0.407558746,0.102445768,-0.655753313,-0.123197547,17,1,16,13,17,14,18,1,1,1,1,1,-0.269532024
4,4,2,3,4,4,2,4,3,4,4,2,4,3,2,4,4,2,4,3,2,4,4,3,4,2,3,4,4,2,0.269983816,-0.118540246,-0.221282157,0.102445768,0.11376261,-0.647988801,17,1,17,15,17,17,15,1,1,1,1,1,0.060538408
4,2,3,2,3,4,4,3,4,2,2,3,4,3,4,2,4,4,3,4,2,3,3,4,3,4,2,3,2,4,-0.426300037,0.308011085,0.117619529,-0.032306603,-0.389508652,-1.000769681,14,1,17,16,17,15,15,1,1,1,1,1,-0.142851065
4,4,2,4,4,2,2,4,2,4,4,4,4,2,2,4,4,2,2,2,4,2,4,3,4,2,4,4,2,4,0.457361216,-0.560266676,0.160025127,-0.368227468,0.103197158,-0.506447506,18,1,14,16,14,17,16,1,1,1,1,1,-0.098792223
4,4,4,3,4,4,2,4,4,2,4,4,2,4,2,4,4,3,2,4,2,4,2,3,4,4,4,2,4,3,0.713846177,-0.143291518,0.151359504,0.077430898,-0.31811148,-0.297823701,19,1,16,16,17,15,17,1,1,1,1,1,0.108594783
2,4,2,4,4,4,4,2,3,2,4,4,2,4,3,4,4,1,2,2,4,2,3,4,2,4,4,2,4,2,0.11919349,-0.223301914,0.355477553,-0.626134899,-0.358572192,-0.447410796,16,1,15,17,13,15,16,1,1,1,1,1,-0.222671885
4,4,4,2,4,2,4,4,3,4,2,4,3,4,3,2,3,3,3,4,4,2,2,4,3,4,4,2,3,4,0.526468777,0.422348925,0.19946571,-0.571503211,-0.35416934,-0.384300285,18,1,17,16,15,15,17,1,1,1,1,1,0.039181695
2,4,4,3,4,2,4,4,3,2,4,4,2,4,4,2,4,2,3,4,4,2,3,2,4,2,3,4,4,4,0.375678451,0.042022269,0.559595601,-0.548121465,-0.307587376,-0.348814611,17,1,15,18,15,15,17,1,1,1,1,1,0.010045061
4,2,4,3,4,4,4,2,4,3,2,4,2,3,4,2,4,4,3,4,2,4,4,2,3,4,4,4,3,2,0.228488132,0.322436798,0.000677351,-0.032306603,-0.301424776,-0.186308058,17,1,17,15,17,15,17,1,1,1,1,1,-0.01339809
4,4,4,2,3,4,4,2,2,4,4,4,2,4,4,4,4,4,2,2,4,2,4,2,2,4,4,2,4,2,0.280989189,-0.198550643,0.559595601,0.147587393,-0.532330125,-0.447410796,17,1,16,18,16,14,16,1,1,1,1,1,0.034427291
4,4,2,4,3,4,2,3,4,2,4,4,2,4,3,2,4,4,4,2,4,4,2,4,3,2,3,4,4,4,0.211881627,-0.319029133,0.355477553,-0.031658655,0.169514278,-0.348814611,17,1,15,17,16,17,17,1,1,1,1,1,0.089235052
4,4,2,4,4,4,2,4,4,2,4,4,2,2,4,4,4,3,4,2,4,4,2,2,4,4,4,2,2,3,0.457361216,-0.143291518,0.161022005,0.26647773,0.000159197,-0.769951059,18,1,16,16,17,16,15,1,1,1,1,1,0.069497182
4,4,2,4,4,4,4,2,2,2,4,2,3,2,4,4,3,2,4,2,4,4,4,2,4,4,4,2,4,3,0.457361216,-0.578877298,-0.215952468,-0.272718877,0.432033287,-0.297823701,18,1,14,15,15,18,17,1,1,1,1,1,-0.05657048
4,4,4,2,4,4,2,4,3,4,4,4,4,2,4,4,4,2,4,2,4,4,2,2,4,4,4,2,2,4,0.526468777,-0.118540246,0.568261224,0.0085703,0.000159197,-0.620363963,18,1,17,18,16,16,16,1,1,1,1,1,0.270430295
4,4,4,2,4,4,4,4,4,2,2,3,2,4,4,4,4,2,4,2,4,4,2,4,2,2,4,4,4,2,0.526468777,0.4837487,-0.090332892,0.0085703,-0.050825619,-0.333494339,18,1,18,15,16,16,16,1,1,1,1,1,0.10307997
4,4,4,2,2,4,4,4,4,4,2,3,2,4,3,2,4,4,4,2,4,4,2,4,2,4,2,4,4,2,0.035509601,0.864075355,-0.29445094,-0.031658655,-0.050825619,-0.579233305,16,1,20,14,16,16,16,1,1,1,1,1,0.045646378
4,4,4,2,4,4,4,2,2,4,2,4,2,4,4,4,4,4,2,4,4,4,4,2,4,4,4,2,4,2,0.526468777,-0.198550643,0.199964149,0.335338329,0.432033287,-0.447410796,18,1,16,16,18,18,16,1,1,1,1,1,0.24743175
2,2,2,4,4,4,4,4,3,2,4,4,2,2,4,2,4,4,2,2,2,4,3,2,4,2,4,4,4,4,-0.366164555,0.128173315,0.161022005,-0.408456423,-0.297021924,-0.034320148,14,1,17,16,14,15,18,1,1,1,1,1,-0.197548782
4,4,2,3,4,4,4,4,2,2,2,2,4,2,4,2,3,4,2,2,4,4,4,2,4,4,4,2,4,3,0.269983816,-0.227402069,-0.37196431,-0.689745599,0.432033287,-0.297823701,17,1,16,14,13,18,17,1,1,1,1,1,-0.13872749
2,4,3,3,4,2,3,3,2,4,2,2,4,2,2,4,4,2,4,2,2,4,4,4,2,4,2,3,2,4,0.153747271,-0.422484182,-0.780200407,0.0085703,-0.132069695,-1.000769681,16,1,14,12,16,16,15,1,1,1,1,1,-0.517757088
4,4,2,3,4,2,4,3,4,2,4,4,2,4,2,2,4,3,3,2,2,4,2,4,2,4,4,4,2,2,0.269983816,0.221860039,0.151359504,-0.477964969,-0.563943785,-0.422371737,17,1,15,16,14,14,16,1,1,1,1,1,-0.264086288
2,2,2,4,4,2,4,4,2,4,4,2,3,3,4,2,3,2,3,4,4,4,4,4,2,2,4,3,4,3,-0.366164555,0.066773541,-0.01666567,-0.829410641,0.381048471,-0.432490452,14,1,16,16,14,18,16,1,1,1,1,1,-0.129761941
2,3,4,3,4,4,4,3,4,2,4,3,4,2,4,4,4,4,2,2,4,2,4,4,2,4,2,4,4,4,0.132999429,0.308011085,0.277964183,0.147587393,-0.142635147,-0.280059115,16,1,17,17,16,16,18,1,1,1,1,1,0.126760889
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,-0.165327477,-0.213996603,-0.110302403,-0.38735677,0.821728265,0.348929811,15,1,15,15,15,20,20,1,1,1,1,1,0.025258742
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,-1.231878532,-1.292068562,-1.187439626,-1.486849638,-1.256982485,-0.791423614,10,1,10,10,10,11,15,1,1,1,1,1,-1.788439271
4,4,4,4,4,3,3,2,3,2,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,5,4,4,4,4,0.901223577,-0.579897546,-0.110302403,-0.38735677,0.821728265,0.54055479,20,1,13,15,15,20,21,1,1,1,1,1,0.190703935
2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,-1.231878532,-1.292068562,-0.110302403,-0.38735677,-0.071237975,-0.791423614,10,1,10,15,15,16,15,1,1,1,1,1,-0.911505409
4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.901223577,0.864075355,-0.110302403,-0.38735677,-0.327797058,-0.791423614,20,1,20,15,15,15,15,1,1,1,1,1,0.221922539
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,-0.165327477,-0.213996603,-0.110302403,-0.293481303,-0.327797058,-0.791423614,15,1,15,15,16,15,15,1,1,1,1,1,-0.3343223
3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,5,3,3,3,3,5,4,4,4,5,-0.165327477,-0.023833275,-0.110302403,-0.38735677,0.185321109,0.690141885,15,1,16,15,15,17,22,1,1,1,1,1,-0.042528098
3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,3,-0.165327477,-1.292068562,-0.110302403,0.712136097,-0.111860013,0.199342716,15,1,10,15,20,16,19,1,1,1,1,1,-0.354247798
2,4,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,4,-0.279109717,-0.213996603,-0.110302403,-0.38735677,-0.327797058,-0.327342056,14,1,15,15,15,15,17,1,1,1,1,1,-0.385737974
3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3,-0.165327477,-0.023833275,-0.110302403,-0.38735677,-0.327797058,-0.240865472,15,1,16,15,15,15,17,1,1,1,1,1,-0.266554217
2,4,2,3,3,2,2,2,4,1,4,2,2,4,2,2,4,2,4,4,2,2,4,3,4,2,4,2,3,3,-0.313663498,-0.771081121,-0.429234578,-0.359722581,-0.409921008,-0.917137339,14,1,11,14,16,15,14,1,1,1,1,1,-0.745928477
4,4,5,4,4,3,3,3,3,3,3,3,4,2,3,2,3,3,3,3,3,3,3,3,3,4,4,4,4,4,1.123154758,-0.213996603,-0.105969592,-0.665378678,-0.327797058,0.348929811,21,1,15,15,14,15,20,1,1,1,1,1,0.021283535
2,4,2,3,3,4,4,4,2,2,2,4,2,3,4,4,4,2,2,2,2,4,4,2,4,2,4,4,2,3,-0.313663498,-0.227402069,0.000677351,-0.368227468,-0.081084879,-0.656034601,14,1,16,15,14,16,15,1,1,1,1,1,-0.345325765
4,2,2,4,2,4,4,4,4,2,2,2,4,3,2,2,2,4,4,2,2,3,2,4,2,4,2,4,2,4,-0.518956006,0.4837487,-0.580913609,-0.594237009,-0.825785594,-0.752186473,14,1,18,13,14,13,16,1,1,1,1,1,-0.524601103
4,4,2,3,4,4,2,2,4,2,4,4,2,4,4,2,2,4,2,4,2,4,4,2,4,4,4,4,2,2,0.269983816,-0.494766747,0.559595601,-0.783283841,-0.081084879,-0.422371737,17,1,14,18,14,16,16,1,1,1,1,1,-0.057219918
4,4,3,4,2,4,2,4,2,3,4,4,2,2,2,2,4,4,4,2,2,3,4,2,4,4,2,3,2,4,0.18833322,-0.664278958,-0.247214093,-0.031658655,-0.342926688,-1.000769681,17,1,15,14,16,15,15,1,1,1,1,1,-0.30237655
4,2,4,4,4,4,4,4,2,2,5,3,3,2,4,2,2,4,3,4,4,4,4,2,4,4,5,4,5,4,0.415865532,-0.227402069,0.254160299,-0.594884957,0.432033287,0.899487952,18,1,16,17,15,18,22,1,1,1,1,1,0.334361358
2,2,2,4,4,2,2,4,4,2,4,4,2,3,4,4,2,3,4,4,4,4,4,4,4,4,4,5,4,5,-0.366164555,-0.229442564,0.360308803,-0.108349688,0.821728265,0.747100114,14,1,14,17,17,20,22,1,1,1,1,1,0.182912032
4,4,2,2,4,4,4,4,4,4,2,2,4,4,4,2,2,3,4,4,4,4,4,4,4,5,5,5,5,5,0.082606416,0.864075355,0.026609287,-0.664393504,0.821728265,1.489283235,16,1,20,16,15,20,25,1,1,1,1,1,0.587189698
2,2,2,4,4,4,4,3,3,4,4,2,3,3,3,4,4,2,2,4,4,4,4,4,2,5,5,5,5,5,-0.366164555,0.332762356,-0.220783718,-0.180476532,0.381048471,1.489283235,14,1,18,15,16,18,25,1,1,1,1,1,0.194373682
4,2,2,2,2,4,4,2,3,3,4,4,4,2,3,4,4,4,3,3,4,4,2,2,3,5,5,5,5,5,-0.893710806,-0.033138586,0.364143175,0.429861745,-0.2201807,1.489283235,12,1,16,17,18,15,25,1,1,1,1,1,0.014731595
4,4,4,2,4,4,2,2,4,4,4,4,4,4,4,4,4,4,2,2,4,4,2,2,2,4,4,4,4,4,0.526468777,-0.114440092,0.96683482,0.147587393,-0.440520597,0.348929811,18,1,16,20,16,14,20,1,1,1,1,1,0.329423669
2,2,2,4,4,4,4,4,4,4,4,4,4,4,2,4,4,2,2,2,2,2,2,2,2,4,4,4,4,4,-0.366164555,0.864075355,0.558598723,-0.368227468,-1.477322382,0.348929811,14,1,20,18,14,10,20,1,1,1,1,1,-0.098429903
2,2,4,3,3,4,2,4,3,4,4,4,2,3,3,4,4,2,2,3,2,2,2,2,4,4,5,4,5,4,-0.355159182,-0.118540246,0.156190754,-0.274352,-1.036642588,0.899487952,14,1,17,16,15,12,22,1,1,1,1,1,-0.247338208
2,3,3,4,4,4,4,2,3,4,4,4,2,3,3,3,3,4,2,4,4,4,2,4,4,4,5,4,5,4,0.098445648,0.157024742,0.156190754,-0.223972756,0.389854175,0.899487952,16,1,17,16,16,18,22,1,1,1,1,1,0.252042432
2,2,4,3,4,4,4,3,4,2,4,4,2,3,4,4,4,2,3,4,2,2,4,3,4,5,4,5,4,5,-0.109679594,0.308011085,0.360308803,0.007922351,-0.409921008,0.938725094,15,1,17,17,17,15,23,1,1,1,1,1,0.160607608
